site id,latitude,longitude,altitude,site name,city,department,region,country
24323,47.05766,5.69781,NA,10241-14106,Chatelay,Jura,Bourgogne-Franche-Comté,France
24426,47.76451,0.27979,NA,10553-14080,Mayet,Sarthe,Pays de la Loire,France
25616,46.42452,-0.60281,NA,14176,Saint-Pompain,Deux-Sèvres,Nouvelle-Aquitaine,France
25623,47.3149,-0.41558,NA,14233,Brissac Loire Aubance,Maine-et-Loire,Pays de la Loire,France
25624,46.8266,5.50067,NA,14240,Bois-de-Gand,Jura,Bourgogne-Franche-Comté,France
25659,46.96547,5.35444,NA,14453-902091,Longwy-sur-le-Doubs,Jura,Bourgogne-Franche-Comté,France
25671,47.22518,-2.06629,NA,14531,Saint-Père-en-Retz,Loire-Atlantique,Pays de la Loire,France
26224,47.9656,-0.3238,NA,17573-20231,Cossé-en-Champagne,Mayenne,Pays de la Loire,France
26723,46.78133,-1.12086,NA,20519,Essarts en Bocage,Vendée,Pays de la Loire,France
26725,46.80696,-1.67021,NA,20532,Saint-Paul-Mont-Penit,Vendée,Pays de la Loire,France
26768,47.65571,-1.50487,NA,20695,Saint-Vincent-des-Landes,Loire-Atlantique,Pays de la Loire,France
26971,48.19759,3.73582,NA,213607-922153,Aix-Villemaur-Pâlis,Aube,Grand Est,France
27127,46.8302,-0.96525,NA,22203,Saint-Paul-en-Pareds,Vendée,Pays de la Loire,France
27304,46.26818,4.77737,NA,23622-631859,Vinzelles,Saône-et-Loire,Bourgogne-Franche-Comté,France
29154,45.53516,-0.03547,NA,493485-512982-53309,Val des Vignes,Charente,Nouvelle-Aquitaine,France
29163,49.24596,6.41158,NA,493750-630274,Piblange,Moselle,Grand Est,France
29450,46.29749,3.45232,NA,510533-510535-513141-513145,Rongères,Allier,Auvergne-Rhône-Alpes,France
29495,46.72802,5.44798,NA,510700,Villevieux,Jura,Bourgogne-Franche-Comté,France
29513,48.70738,5.99065,NA,511689,Fontenoy-sur-Moselle,Meurthe-et-Moselle,Grand Est,France
29540,47.01044,5.00947,NA,512693,Corberon,Côte-d'Or,Bourgogne-Franche-Comté,France
29604,44.58398,4.89803,NA,513150-892975,Saint-Gervais-sur-Roubion,Drôme,Auvergne-Rhône-Alpes,France
29608,46.13233,3.18173,NA,513169-607548,Mazerier,Allier,Auvergne-Rhône-Alpes,France
29618,48.8123,6.29904,NA,513306-946269,Armaucourt,Meurthe-et-Moselle,Grand Est,France
29631,49.08751,6.26934,NA,513358-517182,Ars-Laquenexy,Moselle,Grand Est,France
29680,47.05782,5.16924,NA,513870,Pagny-la-Ville,Côte-d'Or,Bourgogne-Franche-Comté,France
29686,46.14213,-0.21873,NA,513884,Brioux-sur-Boutonne,Deux-Sèvres,Nouvelle-Aquitaine,France
29716,48.06689,3.87274,NA,514173-514174,Montfey,Aube,Grand Est,France
29738,48.82793,5.54813,NA,514497-676087,Mécrin,Meuse,Grand Est,France
29739,48.94102,5.35285,NA,514498,Courouvre,Meuse,Grand Est,France
29763,45.93882,-0.34454,NA,514959,Saint-Martin-de-Juillers,Charente-Maritime,Nouvelle-Aquitaine,France
29767,45.94849,4.98964,NA,514968,Saint-Marcel,Ain,Auvergne-Rhône-Alpes,France
29774,47.13578,0.82147,NA,515009-515010,Manthelan,Indre-et-Loire,Centre-Val de Loire,France
29789,49.09881,5.83669,NA,515193-676086,Hannonville-Suzémont,Meurthe-et-Moselle,Grand Est,France
29790,48.96723,5.21294,NA,515194-535269,Beausite,Meuse,Grand Est,France
29811,47.19416,0.18666,NA,515326,Beaumont-en-Véron,Indre-et-Loire,Centre-Val de Loire,France
29830,43.68996,0.71767,NA,516030,Nougaroulet,Gers,Occitanie,France
29834,48.63158,5.2509,NA,516139-613099-749789,Fouchères-aux-Bois,Meuse,Grand Est,France
29847,45.73992,3.25478,NA,516354-611961,Saint-Bonnet-lès-Allier,Puy-de-Dôme,Auvergne-Rhône-Alpes,France
29902,49.02609,6.42009,NA,517789,Voimhaut,Moselle,Grand Est,France
29923,45.34229,5.46809,NA,520263-536750,Beaucroissant,Isère,Auvergne-Rhône-Alpes,France
29944,45.56602,5.25847,NA,520396,Maubec,Isère,Auvergne-Rhône-Alpes,France
29966,45.3886,5.21648,NA,520642,Ornacieux-Balbins,Isère,Auvergne-Rhône-Alpes,France
29972,47.67362,5.75621,NA,520664,Villers-Vaudey,Haute-Saône,Bourgogne-Franche-Comté,France
30005,45.33622,4.86014,NA,521555,Agnin,Isère,Auvergne-Rhône-Alpes,France
30329,47.46127,3.51094,NA,538847-614557,Clamecy,Nièvre,Bourgogne-Franche-Comté,France
30418,48.87723,6.23311,NA,541734-613363-676799,Nomeny,Meurthe-et-Moselle,Grand Est,France
30585,48.8189,5.48662,NA,546647-613402,Sampigny,Meuse,Grand Est,France
30611,48.84105,6.12997,NA,548744-612024,Ville-au-Val,Meurthe-et-Moselle,Grand Est,France
30855,48.86609,5.46845,NA,607512,Kœur-la-Grande,Meuse,Grand Est,France
30862,49.07419,5.83115,NA,608543,Sponville,Meurthe-et-Moselle,Grand Est,France
30891,48.40911,2.995,NA,610099,Saint-Germain-Laval,Seine-et-Marne,Île-de-France,France
30920,46.27292,3.4618,NA,611957,Langy,Allier,Auvergne-Rhône-Alpes,France
30940,46.95384,4.84828,NA,613053,Merceuil,Côte-d'Or,Bourgogne-Franche-Comté,France
